name,link,salary,employer,address
Инженер испытательной лаборатории (СОУТ),https://spb.hh.ru/vacancy/55839556,"{'min': None, 'max': None, 'cur': None}",ООО УЦ Профстандарт,Новосибирск
Техник - инженер (Начинающий специалист),https://spb.hh.ru/vacancy/66115600,"{'min': 50000, 'max': None, 'cur': 'руб.'}",ТехноГород,Ставрополь
Инженер,https://spb.hh.ru/vacancy/54427433,"{'min': 58000, 'max': None, 'cur': 'руб.'}",АО Фармация,Тюмень
Инженер (Китай),https://spb.hh.ru/vacancy/66106649,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Восхождение,Новосибирск
Ведущий инженер проекта,https://spb.hh.ru/vacancy/54678959,"{'min': 120000, 'max': None, 'cur': 'руб.'}",Heurtey Petrochem Rus,Санкт-Петербург
Инженер ВиК,https://spb.hh.ru/vacancy/66168539,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",ООО Инженерные системы Эколайф,Москва
"Инженер по продажам преобразователей частоты, редукторов и мотор-редукторов",https://spb.hh.ru/vacancy/66098243,"{'min': 120000, 'max': None, 'cur': 'руб.'}",ООО Приводная механика,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/47902490,"{'min': 120000, 'max': 250000, 'cur': 'руб.'}",Da Vinci,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/54632088,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО УиС,"Москва, Дмитровская"
Инженер 1 категории,https://spb.hh.ru/vacancy/66143766,"{'min': 90000, 'max': None, 'cur': 'руб.'}",Группа промышленных компаний “Корпорация ТИРА”,"Санкт-Петербург, Василеостровская"
Инженер-дизайнер.,https://spb.hh.ru/vacancy/50706281,"{'min': 40000, 'max': 100000, 'cur': 'руб.'}",ООО Патриот,Воронеж
Инженер (Китай),https://spb.hh.ru/vacancy/66122333,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Восхождение,Ульяновск
Главный инженер,https://spb.hh.ru/vacancy/66096740,"{'min': 140000, 'max': 140000, 'cur': 'руб.'}",ООО Агрофирма Золотая Балка,Севастополь
Инженер – специалист по пыле газоочистному оборудованию,https://spb.hh.ru/vacancy/55289971,"{'min': 110000, 'max': 160000, 'cur': 'руб.'}",ООО КонсалтПро,Москва
Инженер / радио-электронщик по обслуживанию медицинского оборудования,https://spb.hh.ru/vacancy/66127199,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Перспектива,Якутск
Инженер-разработчик СУУТП,https://spb.hh.ru/vacancy/54693462,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Т-Софт,"Санкт-Петербург, Московская"
Инженер по обследованию ЗиС,https://spb.hh.ru/vacancy/55387333,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ООО АТЭ Паритет,Краснодар
Инженер контроля качества,https://spb.hh.ru/vacancy/66099219,"{'min': None, 'max': 99000, 'cur': 'руб.'}",ООО ПИК,Томск
Специалист по обследованию зданий и сооружений (инженер),https://spb.hh.ru/vacancy/55576874,"{'min': 85000, 'max': 130000, 'cur': 'руб.'}",ООО Инженерный центр СтройЭксперт,"Екатеринбург, Чкаловская"
Инженер по обследованию зданий,https://spb.hh.ru/vacancy/55844707,"{'min': 90000, 'max': 150000, 'cur': 'руб.'}",ООО Кей-Стафф,Санкт-Петербург
BIM координатор-инженер,https://spb.hh.ru/vacancy/54759884,"{'min': None, 'max': 140000, 'cur': 'руб.'}",ООО ЛИИС Инженерные Решения,Санкт-Петербург
Инженер по технической документации,https://spb.hh.ru/vacancy/66070407,"{'min': None, 'max': None, 'cur': None}",ООО РЕГАЗ,Нижний Новгород
Инженер ПТО,https://spb.hh.ru/vacancy/55856010,"{'min': 330000, 'max': 335000, 'cur': 'KZT'}",АО Экотон+,Нур-Султан
Инженер по ремонту майнинг оборудования,https://spb.hh.ru/vacancy/55514597,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Центр Обработки Данных,Новосибирск
Инженер АСУ ТП / Инженер по автоматизации,https://spb.hh.ru/vacancy/54704199,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО Юнифорс Инжиниринг,Москва
Инженер-конструктор,https://spb.hh.ru/vacancy/55428584,"{'min': 70000, 'max': 110000, 'cur': 'руб.'}",ООО Агровент-М,Подольск (Московская область)
Ведущий инженер-технолог,https://spb.hh.ru/vacancy/54693457,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО Т-Софт,"Санкт-Петербург, Московская"
Заместитель главного инженера/главный энергетик,https://spb.hh.ru/vacancy/66085203,"{'min': 95000, 'max': 95000, 'cur': 'руб.'}",ООО Отель Вавельберг,Санкт-Петербург
Инженер-технолог (гальваника),https://spb.hh.ru/vacancy/55587256,"{'min': 80000, 'max': 150000, 'cur': 'руб.'}",ООО Бологовский Арматурный Завод,Нижний Новгород
Технико-коммерческий инженер/Инженер по подбору оборудования,https://spb.hh.ru/vacancy/66145712,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Стройинжпроект,"Москва, Алтуфьево и еще 1 "
Стажер-инженер,https://spb.hh.ru/vacancy/66113079,"{'min': 40000, 'max': None, 'cur': 'руб.'}",Naturi,Москва
Инженер ОТ и ТБ,https://spb.hh.ru/vacancy/66124403,"{'min': 90000, 'max': 140000, 'cur': 'руб.'}",ООО РигВеда,Краснодар
Главный инженер/заместитель главного инженера,https://spb.hh.ru/vacancy/66073445,"{'min': 200000, 'max': 200000, 'cur': 'руб.'}",ООО Альянс,Санкт-Петербург
"Инженер по техническому обслуживанию, наладке и испытаниям котельных",https://spb.hh.ru/vacancy/66105770,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО Политех Энерго,Санкт-Петербург
Сервисный инженер,https://spb.hh.ru/vacancy/66138407,"{'min': 70000, 'max': 250000, 'cur': 'руб.'}",ООО Открытые Технологии,Кемерово
Заместитель главного инженера,https://spb.hh.ru/vacancy/55895574,"{'min': 120000, 'max': 150000, 'cur': 'руб.'}",ООО Инфранова,Москва
ИТР - Инженер технических работ,https://spb.hh.ru/vacancy/55884334,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Гецельд и Гецельтен,Жуковский
Инженер проекта,https://spb.hh.ru/vacancy/50237756,"{'min': 85000, 'max': None, 'cur': 'руб.'}",ЗАО ТРЭМ Инжиниринг,Старая Купавна
Инженер-конструктор,https://spb.hh.ru/vacancy/55355194,"{'min': 90000, 'max': 110000, 'cur': 'руб.'}",ООО АРКАСИЛ СК,Москва
Ведущий инженер ПТО,https://spb.hh.ru/vacancy/55581056,"{'min': None, 'max': 140000, 'cur': 'руб.'}",Термосиб Плюс,Новосибирск
Инженер технического надзора,https://spb.hh.ru/vacancy/66067194,"{'min': 75000, 'max': None, 'cur': 'руб.'}",Девелоперская компания Создатели,Тюмень
Инженер-технолог,https://spb.hh.ru/vacancy/66168013,"{'min': 100000, 'max': None, 'cur': 'руб.'}","Шешмаойл, УК",Набережные Челны
Заместитель главного инженера,https://spb.hh.ru/vacancy/66104341,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ПриволжскНИПИнефть,"Самара, Безымянка"
Ведущий специалист (Инженер),https://spb.hh.ru/vacancy/54687833,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО ССК ГАЗРЕГИОН,Екатеринбург
